"Latest: Time (s)";"Latest: Pressure (kPa)"
0;101,166825531
1;101,166825531
2;101,166825531
3;101,166825531
4;101,166825531
5;101,166825531
6;101,166825531
7;101,166825531
8;101,166825531
9;104,050737376
10;107,159523332
11;107,277878127
12;107,088510455
13;107,088510455
14;107,183194291
15;107,341000685
16;107,530368357
17;107,668448951
18;107,885432743
19;108,098471374
20;108,287839047
21;108,477206719
22;108,69419051
23;108,855942064
24;109,045309736
25;109,230732249
26;109,424045081
27;109,609467594
28;109,727822389
29;109,925080381
30;110,063160976
31;110,366938284
32;110,422170521
33;110,568141436
34;110,745673628
35;110,94687678
36;111,171750891
37;111,250654088
38;111,380844363
39;111,625444273
40;111,743799068
41;111,842428065
42;111,941057061
43;112,130424733
44;112,256669848
45;112,382914963
46;112,509160078
47;112,592008435
48;112,70247291
49;112,824772865
50;112,998359898
51;113,077263095
52;113,19561789
53;113,266630768
54;113,392875883
55;113,523066157
56;113,621695153
57;113,70848867
58;113,830788625
59;113,913636982
60;114,020156297
61;114,146401412
62;114,20952397
63;114,335769085
64;114,44623356
65;114,509356118
66;114,588259315
67;114,643491553
68;114,71450443
69;114,840749545
70;114,903872102
71;114,96699466
72;115,093239775
73;115,156362332
74;115,21948489
75;115,345730004
76;115,471975119
77;115,535097677
78;115,598220234
79;115,661342792
80;115,71657503
81;115,787587907
82;115,850710464
83;115,945394301
84;115,976955579
85;116,103200694
86;116,122926493
87;116,225500649
88;116,288623207
89;116,351745764
90;116,414868322
91;116,477990879
92;116,541113437
93;116,596345674
94;116,667358552
95;116,730481109
96;116,730481109
97;116,856726224
98;116,919848782
99;117,014532618
100;117,046093896
101;117,109216454
102;117,172339011
103;117,235461569
104;117,298584126
105;117,298584126
106;117,424829241
107;117,472171159
108;117,551074356
109;117,614196914
110;117,618142074
111;117,70493559
112;117,740442029
113;117,803564586
114;117,858796824
115;117,929809701
116;117,941645181
117;117,992932259
118;117,992932259
119;118,111287054
120;118,182299931
121;118,182299931
122;118,245422489
123;118,300654726
124;118,308545046
125;118,355886964
126;118,391393403
127;118,442680481
128;118,493967559
129;118,497912718
130;118,557090116
131;118,557090116
132;118,620212674
133;118,683335231
134;118,746457789
135;118,746457789
136;118,801690026
137;118,872702903
138;118,935825461
139;118,935825461
140;118,998948018
141;119,062070576
142;119,093631855
143;119,125193133
144;119,125193133
145;119,164644732
146;119,188315691
147;119,251438248
148;119,251438248
149;119,251438248
150;119,314560806
151;119,314560806
152;119,377683363
153;119,440805921
154;119,440805921
155;119,440805921
156;119,440805921
157;119,503928478
158;119,503928478
159;119,503928478
160;119,567051036
161;119,567051036
162;119,630173593
163;119,630173593
164;119,693296151
165;119,693296151
166;119,693296151
167;119,69724131
168;119,756418708
169;119,784034827
170;119,819541266
171;119,819541266
172;119,819541266
173;119,839267065
174;119,882663823
175;119,894499303
176;119,945786381
177;119,945786381
178;120,008908938
179;120,008908938
180;120,008908938
181;120,008908938
182;120,036525057
183;120,072031496
184;120,072031496
185;120,111483094
186;120,135154053
187;120,135154053
188;120,135154053
189;120,135154053
190;120,135154053
191;120,139099213
192;120,174605651
193;120,245618529
194;120,19827661
195;120,237728209
196;120,324521725
197;120,324521725
198;120,324521725
199;120,324521725
200;120,324521725
201;120,324521725
202;120,379753963
203;120,387644283
204;120,415260402
205;120,45076684
206;120,45076684
207;120,45076684
208;120,47049264
209;120,478382959
210;120,513889398
211;120,513889398
212;120,513889398
213;120,513889398
214;120,513889398
215;120,517834558
216;120,513889398
217;120,569121636
218;120,577011955
219;120,577011955
220;120,577011955
221;120,577011955
222;120,580957115
223;120,624353873
224;120,640134513
225;120,640134513
226;120,640134513
227;120,640134513
228;120,640134513
229;120,640134513
230;120,640134513
231;120,640134513
232;120,687476431
233;120,70325707
234;120,70325707
235;120,70325707
236;120,70325707
237;120,70325707
238;120,70325707
239;120,70325707
240;120,726928029
241;120,754544148
242;120,762434468
243;120,762434468
244;120,762434468
245;120,762434468
246;120,762434468
247;120,790050587
248;120,801886066
249;120,790050587
250;120,801886066
251;120,817666706
252;120,825557025
253;120,825557025
254;120,825557025
255;120,825557025
256;120,825557025
257;120,825557025
258;120,825557025
259;120,825557025
260;120,825557025
261;120,801886066
262;120,825557025
263;120,825557025
264;120,825557025
265;120,825557025
266;120,825557025
267;120,825557025
268;120,825557025
269;120,825557025
270;120,825557025
271;120,825557025
272;120,825557025
273;120,825557025
274;120,825557025
275;120,801886066
276;120,825557025
277;120,825557025
278;120,825557025
279;120,825557025
280;120,825557025
281;120,825557025
282;120,825557025
283;120,766379628
284;120,801886066
285;120,825557025
286;120,825557025
287;120,817666706
288;120,782160267
289;120,825557025
290;120,825557025
291;120,825557025
292;120,825557025
293;120,825557025
294;120,825557025
295;120,817666706
296;120,825557025
297;120,825557025
298;120,825557025
299;120,817666706
300;120,774269947
301;120,825557025
