"Latest: Time (s)";"Latest: Pressure (kPa)"
0;101,111593294
1;101,166825531
2;101,166825531
3;101,127373933
4;101,162880372
5;105,904962502
6;105,609075514
7;105,514391678
8;105,45126912
9;105,514391678
10;105,482830399
11;105,514391678
12;105,545952956
13;105,581459395
14;105,640636793
15;105,70375935
16;105,731375469
17;105,830004465
18;105,830004465
19;105,94835926
20;105,95624958
21;105,983865699
22;106,019372137
23;106,082494695
24;106,149562412
25;106,177178531
26;106,20873981
27;106,21268497
28;106,338930085
29;106,366546203
30;106,409942962
31;106,429668761
32;106,524352597
33;106,524352597
34;106,524352597
35;106,650597712
36;106,682158991
37;106,71372027
38;106,768952507
39;106,839965385
40;106,832075065
41;106,839965385
42;106,839965385
43;106,96226534
44;107,025387897
45;107,025387897
46;107,072729815
47;107,088510455
48;107,088510455
49;107,088510455
50;107,116126574
51;107,21475557
52;107,277878127
53;107,277878127
54;107,277878127
55;107,341000685
56;107,404123242
57;107,396232922
58;107,404123242
59;107,467245799
60;107,479081279
61;107,530368357
62;107,542203836
63;107,593490914
64;107,593490914
65;107,593490914
66;107,656613472
67;107,656613472
68;107,69606507
69;107,719736029
70;107,782858587
71;107,767077948
72;107,786803747
73;107,845981144
74;107,845981144
75;107,893323062
76;107,893323062
77;107,909103702
78;107,95644562
79;107,972226259
80;108,035348817
81;107,972226259
82;108,098471374
83;108,102416534
84;108,110306854
85;108,161593932
86;108,161593932
87;108,252332608
88;108,287839047
89;108,287839047
90;108,350961604
91;108,406193842
92;108,418029321
93;108,418029321
94;108,477206719
95;108,477206719
96;108,481151879
97;108,508767998
98;108,540329277
99;108,524548637
100;108,579780875
101;108,666574392
102;108,729696949
103;108,666574392
104;108,729696949
105;108,729696949
106;108,729696949
107;108,749422748
108;108,792819506
109;108,855942064
110;108,855942064
111;108,855942064
112;108,855942064
113;108,930900101
114;108,982187179
115;109,037419417
116;109,037419417
117;109,021638777
118;108,994022658
119;108,994022658
120;108,994022658
121;109,045309736
122;109,120267773
123;109,108432294
124;109,167609692
125;109,139993573
126;109,167609692
127;109,139993573
128;109,187335491
129;109,230732249
130;109,293854806
131;109,278074167
132;109,293854806
133;109,293854806
134;109,293854806
135;109,305690286
136;109,349087044
137;109,293854806
138;109,356977364
139;109,356977364
140;109,396428962
141;109,420099921
142;109,420099921
143;109,420099921
144;109,45955152
145;109,483222479
146;109,483222479
147;109,495057958
148;109,530564397
149;109,538454717
150;109,495057958
151;109,546345036
152;109,546345036
153;109,546345036
154;109,566070836
155;109,566070836
156;109,550290196
157;109,593686954
158;109,601577274
159;109,601577274
160;109,637083713
161;109,613412754
162;109,609467594
163;109,672590151
164;109,684425631
165;109,672590151
166;109,672590151
167;109,672590151
168;109,71204175
169;109,735712709
170;109,727822389
171;109,735712709
172;109,735712709
173;109,735712709
174;109,739657869
175;109,739657869
176;109,798835266
177;109,763328828
178;109,798835266
179;109,775164307
180;109,790944947
181;109,783054627
182;109,798835266
183;109,798835266
184;109,798835266
185;109,798835266
186;109,826451385
187;109,861957824
188;109,861957824
189;109,861957824
190;109,861957824
191;109,861957824
192;109,861957824
193;109,861957824
194;109,861957824
195;109,861957824
196;109,861957824
197;109,861957824
198;109,861957824
199;109,861957824
200;109,861957824
201;109,865902984
202;109,893519102
203;109,917190062
204;109,929025541
205;109,865902984
206;109,94480618
207;109,980312619
208;109,909299742
209;109,861957824
210;109,917190062
211;109,988202939
212;109,929025541
213;109,917190062
214;109,936915861
215;109,988202939
216;109,925080381
217;109,95664166
218;110,015819058
219;109,980312619
220;110,043435176
221;110,000038418
222;110,051325496
223;110,015819058
224;110,043435176
225;110,051325496
226;110,027654537
227;110,019764217
228;110,019764217
229;109,992148099
230;109,988202939
231;110,007928738
232;110,007928738
233;109,992148099
234;110,027654537
235;110,015819058
236;110,051325496
237;110,007928738
238;110,051325496
239;110,051325496
240;110,051325496
241;110,051325496
242;110,051325496
243;110,051325496
244;110,051325496
245;110,051325496
246;110,051325496
247;110,027654537
248;110,051325496
249;110,051325496
250;110,051325496
251;110,051325496
252;110,090777095
253;110,090777095
254;110,043435176
255;110,043435176
256;110,051325496
257;110,055270656
258;110,051325496
259;110,090777095
260;110,106557734
261;110,055270656
262;110,043435176
263;110,106557734
264;110,051325496
265;110,106557734
266;110,114448054
267;110,090777095
268;110,051325496
269;110,090777095
270;110,114448054
271;110,090777095
272;110,106557734
273;110,051325496
274;110,051325496
275;110,114448054
276;110,078941615
277;110,043435176
278;110,114448054
279;110,051325496
280;110,071051295
281;110,114448054
282;110,114448054
283;110,114448054
284;110,114448054
285;110,051325496
286;110,114448054
287;110,078941615
288;110,114448054
289;110,114448054
290;110,114448054
291;110,114448054
292;110,106557734
293;110,114448054
294;110,051325496
295;110,114448054
296;110,051325496
297;110,114448054
298;110,106557734
299;110,114448054
300;110,078941615
301;110,051325496
302;110,051325496
303;110,106557734
